id,title,academic_year,description,document_url,display_order,status,author,created_at,updated_at,updated_by
b7cbeeb5-93a4-4010-ad31-5454a7a454b8,รายงานการประเมินตนเองของสถานศึกษา 2566,2566,รายงานการประเมินตนเองของสถานศึกษา 2566,https://drive.google.com/file/d/19bV_oqSu9M0XY5qsboKZf5ZcTTyabZ70/view?usp=sharing,1,published,boasnirut,2026-07-25T12:31:21.027Z,2026-07-25T12:31:21.027Z,
5660af0b-9f06-4e7f-b3c0-6aa0e3097a48,รายงานการประเมินตนเองของสถานศึกษา 2567,2567,รายงานการประเมินตนเองของสถานศึกษา 2567,https://drive.google.com/file/d/1j1udBXrFR-z9lD1sEcgxYmw8He_3MzmW/view?usp=sharing,2,published,boasnirut,2026-07-25T12:31:41.317Z,2026-07-25T12:31:41.317Z,
87dfde1b-a04b-439c-9e68-d3fc88b9bbfc,รายงานการประเมินตนเองของสถานศึกษา 2568,2568,รายงานการประเมินตนเองของสถานศึกษา 2568,https://drive.google.com/file/d/10mWtUbN-mJnrTRulp1tFSWa-p1iERvQ3/view?usp=sharing,3,published,boasnirut,2026-07-25T12:32:04.158Z,2026-07-25T12:32:04.158Z,
