id,title,category,summary,content,image_url,document_url,photo_url,display_order,status,author,created_at,updated_at
aa561e27-f5b2-4042-b760-7feaa7fa891c,เติมความสดชื่น! อบต.ปากตม,ประชาสัมพันธ์,🧃✨ เติมความสดชื่น! อบต.ปากตม นำโดย นายกบุญมี จันทสาน มอบน้ำผลไม้แจกความสดใสให้ลูกๆ บ้านน้ำพร 💛💙,"🧃✨ เติมความสดชื่น! อบต.ปากตม นำโดย นายกบุญมี จันทสาน มอบน้ำผลไม้แจกความสดใสให้ลูกๆ บ้านน้ำพร 💛💙 
โรงเรียนบ้านน้ำพรขอขอบพระคุณ ท่านนายกบุญมี จันทสาน นายกองค์การบริหารส่วนตำบลปากตม พร้อมด้วยคณะผู้บริหาร ที่เป็นผู้ใหญ่ใจดี แวะมาเยี่ยมเยียนและนำ ""เครื่องดื่มน้ำผลไม้"" แสนอร่อยมามอบให้กับลูกๆ นักเรียนของเราถึงที่โรงเรียน
เด็กๆ อิ่มอร่อยและดีใจกันมากๆ ครับ ขอขอบพระคุณในความรัก ความเมตตา และความห่วงใยที่ทาง อบต.ปากตม มีให้กับการพัฒนาคุณภาพชีวิตของลูกหลานในชุมชนเสมอมาครับ 🙏✨",https://raw.githubusercontent.com/boasnirut/np/main/public/uploads/news/aa561e27-f5b2-4042-b760-7feaa7fa891c.jpg,,,2,published,boasnirut,2026-07-01T13:09:02.834Z,2026-07-01T14:34:10.584Z
140f480b-0ed6-4b68-b9be-bffac3ec1e3d,แข่งขันกิจกรรมแต่งคำประพันธ์ ช่วงชั้นที่ 3 ปีการศึกษา 2569 ระดับประเทศ,วิชาการ,📚✨ โรงเรียนบ้านน้ำพร ส่งตัวแทนนักเรียน เด็กหญิงกวินตรา สุกสัก นักเรียนชั้นมัธยมศึกษาปีที่ 3 เข้าร่วมแข่งขันกิจกรรมแต่งคำประพันธ์ ช่วงชั้นที่ 3 การแข่งขันทักษะภาษาไทย โครงการรักษ์ภาษาไทย เนื่องในสัปดาห์วันภาษาไทยแห่งชาติ ปีการศึกษา 2569 ระดับประเทศ,"📚✨ โรงเรียนบ้านน้ำพร ส่งตัวแทนนักเรียน เด็กหญิงกวินตรา สุกสัก นักเรียนชั้นมัธยมศึกษาปีที่ 3 เข้าร่วมแข่งขันกิจกรรมแต่งคำประพันธ์ ช่วงชั้นที่ 3 (ม.1-ม.3) การแข่งขันทักษะภาษาไทย โครงการรักษ์ภาษาไทย เนื่องในสัปดาห์วันภาษาไทยแห่งชาติ ปีการศึกษา 2569 ระดับประเทศ
🗓️ วันเสาร์ที่ 27 มิถุนายน 2569 นายรังสรรค์ คำชาย ผู้อำนวยการสำนักงานเขตพื้นที่การศึกษาประถมศึกษาเลย เขต 1 พร้อมด้วย นางศิวาลัยแก้วเขียว ผู้อำนวยการโรงเรียนบ้านน้ำพร และคณะศึกษานิเทศก์ ร่วมให้กำลังใจเด็กหญิงกวินตรา สุกสัก นักเรียนตัวแทนสำนักงานเขตพื้นที่การศึกษาประถมศึกษาเลย เขต 1 เข้าร่วมแข่งขันกิจกรรมแต่งคำประพันธ์ ช่วงชั้นที่ 3 (ม.1-ม.3) 
💙 ขอร่วมส่งกำลังใจให้นักเรียนประสบความสำเร็จในการแข่งขันระดับประเทศ และสร้างความภาคภูมิใจร่วมกัน",https://raw.githubusercontent.com/boasnirut/np/main/public/uploads/news/140f480b-0ed6-4b68-b9be-bffac3ec1e3d-1782916321037.jpg,,,1,published,boasnirut,2026-07-01T14:32:01.037Z,2026-07-01T14:32:11.253Z
